UPC,AddToCart,ProductURL,Status,Message,ProductName,ItemNumber,ProductUPC,VendorItemNumber,CasePack,ProductDetailDescription,ProductDetailPrice,MsrpPricing,Stock,OutOfStock,BrandName,ItemUpcEanNumber,BulletFeatures,CatalogPageNumber,DropShipOnly,MsrpPrice,PrimaryColor,ProhibitedStates,VendorItemNo,YearLaunched,Prop65Applies,Prop65CancerHarm,Prop65ReproductiveHarm
"147164610321","YES","https://webstore.kinseysinc.com/30-06-Paper-Tune-It-System-20-pk.-Refill/65627","ADD TO CART PRESENT","","30-06 Paper Tune-It System 20 pk. Refill","Item No : 65627","147164610321","PTR-20","12","Includes 20 sheets of “how to” tuning paper. Gives easy step-by-step archery tuning tips.","$8.53","$10.95","4","","30-06","147164610321","Assures proper arrow flight Step-by-step archery tuning steps Fast and easy replacement","183","No","$10.95","White","None","PTR-20","2014","Yes","Yes","Yes"
"147164810516","YES","https://webstore.kinseysinc.com/30-06-Alpha-Crossbow-Case/72256","ADD TO CART PRESENT","","30-06 Alpha Crossbow Case","Item No : 72256","147164810516","AXBC-1","3","Crossbow case with extreme padding and an adjustable shoulder strap. Features two large external pockets for accessory storage. Overall Length: 42”, Width: 29”, Scope Height: 8”.","$60.51","$94.95","2","","30-06","147164810516","Extreme padding Adjustable shoulder strap Two large external pockets","461","No","$94.95","Black","None","AXBC-1","2015","Yes","Yes","Yes"
