UPC,AddToCart,ProductURL,Status,Message,ProductName,ItemNumber,ProductUPC,VendorItemNumber,CasePack,ProductDetailDescription,ProductDetailPrice,MsrpPricing,Stock,OutOfStock,BrandName,ItemUpcEanNumber,BulletFeatures,CatalogPageNumber,DropShipOnly,MsrpPrice,PrimaryColor,ProhibitedStates,VendorItemNo,YearLaunched,Prop65Applies,Prop65CancerHarm,Prop65ReproductiveHarm
"647164102005","YES","https://webstore.kinseysinc.com/30-06-Cross-Coffin-Crossbow-Pack/78076","ADD TO CART PRESENT","","30-06 Cross Coffin Crossbow Pack","Item No : 78076","647164102005","XCOFF-1","6","The Cross Coffin features adjustable shoulder straps, a front accessories pack, arrow/quiver pouch and a side accessories pouch. Measures 37”x18”x11.5”.","$60.00","$89.95","14","","30-06","647164102005","Adjustable shoulder straps Front accessories pouch Arrow/quiver pocket","461","No","$89.95","Black","None","XCOFF-1","2017","Yes","Yes","Yes"
"647164100315","YES","https://webstore.kinseysinc.com/30-06-Roller-Cable-Slide-Black/1402607","ADD TO CART PRESENT","","30-06 Roller Cable Slide Black","Item No : 1402607","647164100315","CABROL-1","6","Roller cable slide featuring all aluminum construction with stainless steel ball bearings.","$19.15","$26.95","32","","30-06","647164100315","Roller cable slide All aluminum construction Stainless steel ball bearings","150","No","$26.95","Black","None","CABROL-1","2019","Yes","Yes","Yes"
